uuid,seller_id,seller_firstname,seller_lastname,date_joined,country,contact_region,contact_date,contact_customer_fullname,contact_type,contact_product_type_offered_id,contact_product_type_offered,sale_net_amount,sale_gross_amount,sale_tax_rate,sale_product_total_cost
259e9abe-e2e9-4bdf-b2c2-2e2e5765e9b8,73,Lacie,An,2021-08-20,CL,Majuro,2011-11-04,Eugine,Phone,660,Spätzle,429.05,906.86,0.19,355.2
85d1f62d-b521-4804-ab4b-0febd86dc635,361,Marline,Pulsifer,2014-06-06,ET,Zürich,2016-02-01,Ardeen,Email,766,Spätzle,440.23,679.19,0.19,385.52
bce26c90-73bb-4a38-95ba-9909f3d59f52,868,Jenda,Lamoree,2008-04-07,SC,Washington,2012-02-28,Charlena,Phone,559,Canned sausages,476.84,544.28,0.19,320.79
1ae82d86-af68-440d-97f7-1711c658afc0,244,Roberta,Karl,2019-07-01,JP,Siem Reap,2013-12-21,Dacia,Email,434,Spätzle,253.52,663.05,0.19,301.23
9a6299ae-c7f0-4312-9c22-a7a87b27eee3,519,Esmeralda,Sancho,2020-11-09,IQ,Buenos Aires,2009-12-05,Kirstin,Email,266,Spätzle,320.31,702.48,0.19,343.17
9f86d09e-9cfc-4628-96e9-106d11e036c1,721,Danny,Merriott,2010-11-05,GN,Sucre,2017-02-21,Reeba,Phone,936,Spätzle,490.04,813.21,0.19,444.97
12758099-0249-4e9d-904f-79b038085c4f,39,Melisent,Wattenberg,2013-12-28,GI,Quebec City,2004-02-14,Lita,Email,371,Canned sausages,390.76,796.08,0.19,408.42
6b75b237-adf4-437b-92fe-5af6d8259bf6,595,Danika,Jacqui,2010-08-21,LI,Helsinki,2005-09-27,Caryl,Phone,320,Canned sausages,422.9,570.18,0.19,343.99
0285ad8e-7ffe-42d5-8040-ea135768ef1c,971,Karlee,Dunkin,2017-08-08,MO,Osaka,2006-08-24,Nataline,Phone,973,Canned sausages,271.51,573.66,0.19,306.11
88e8f010-9af1-46d8-bd12-167ab352be16,392,Nollie,Payson,2015-07-27,LU,Lviv,2016-03-17,Max,Email,430,Spätzle,442.2,878.96,0.19,487.36
544ad460-aa8b-4560-b8ba-f3e8a79d5ffc,937,Teriann,Merell,2019-05-11,IL,Surabaya,2010-10-27,Micheline,Email,323,Spätzle,407.63,871.11,0.19,478.32
a9f1e19c-87c3-46a3-9b77-b280b092c0c3,680,Viviene,Bari,2022-10-28,PY,Leeds,2016-11-15,Annice,Email,267,Canned sausages,377.81,986.76,0.19,355.51
a7b9b47e-15a1-4d3f-9ce4-ae5915fd985f,537,Kittie,Alice,2024-03-11,NU,Gold Coast,2015-03-20,Heida,Phone,738,Canned sausages,229.06,707.06,0.19,450.04
1797dc5c-bf78-418a-8575-8fbef3bf9c7b,62,Kial,Carey,2013-10-23,MH,Macapá,2018-04-21,Ricky,Email,730,Canned sausages,373.17,596.75,0.19,318.04
316a869a-206b-4024-9034-9caaf5f22d5b,581,Rori,Armanda,2017-11-15,MQ,Saipan,2024-01-17,Sandie,Phone,991,Spätzle,222.29,610.81,0.19,396.46
f50fa511-e0a3-4c99-b89a-733fcf7ed62b,448,Raina,Lindemann,2022-09-06,KY,Pittsburgh,2024-04-03,Renie,Phone,92,Spätzle,222.26,783.13,0.19,341.04
d23df993-1457-4cc4-9f7b-42f538a44c4a,892,Kirbee,Orelee,2000-08-18,MQ,Taichung,2012-01-30,Jobi,Phone,475,Spätzle,286.19,796.12,0.19,367.4
2438ac80-ed63-4421-83f0-9ea34dccc597,71,Blondelle,Llovera,2019-09-07,CV,Hangzhou,2013-09-01,Candi,Phone,867,Spätzle,303.35,755.95,0.19,452.78
fc3d72ad-db6f-4aee-8f4c-80e465c579db,681,Shauna,Dex,2019-01-19,JO,Austin,2016-08-03,Gui,Phone,300,Spätzle,479.14,898.73,0.19,357.65
00933c8e-5f21-4ce4-bfee-493dc83646d1,990,Nelle,Artie,2020-09-29,PY,Thiès,2008-08-10,Florencia,Phone,201,Canned sausages,359.61,993.74,0.19,416.91
e69dd7a5-cb36-40d1-8a82-95bf76fb36bd,366,Lelah,Garbe,2019-05-03,AE,Charlotte,2010-06-14,Jaime,Phone,309,Spätzle,401.34,873.22,0.19,496.37
68e56326-6b30-4a03-bf49-de515dd241af,631,Shaylyn,Freddi,2007-11-08,YE,Malmö,2001-12-14,Pearline,Email,375,Canned sausages,336.47,868.47,0.19,362.74
667b2a9d-bca3-42be-8cce-aeb474b5e4ca,517,Mariele,Dorcy,2018-12-09,MT,Oslo,2005-04-09,Lorne,Phone,260,Spätzle,277.38,694.06,0.19,375.52
