uuid,seller_id,seller_firstname,seller_lastname,date_joined,country,contact_region,contact_date,contact_customer_fullname,contact_type,contact_product_type_offered_id,contact_product_type_offered,sale_net_amount,sale_gross_amount,sale_tax_rate,sale_product_total_cost
8961403c-94a8-482a-bfd6-d0690c7aaed8,141,Dianemarie,Fairweather,2015-11-01,VI,Guayaquil,2006-04-08,Fredericka,Phone,853,Canned sausages,306.18,916.5,0.19,379.55
44cb137c-a140-4c7a-8346-bcd719149884,408,Gaylene,Riordan,2009-06-03,SH,Incheon,2018-06-11,Pearline,Email,656,Spätzle,204.57,940.91,0.19,328.41
9fc1c384-f368-419e-a886-a42eac5b80f4,690,Fred,Lacombe,2014-03-31,PL,Stepanakert,2011-01-22,Vere,Phone,637,Spätzle,482.45,906.77,0.19,331.43
ef8aa65f-ca20-49fa-a7a1-f3b94f0f1a67,199,Hope,Burnside,2009-04-21,CD,Angra do Heroísmo,2007-10-17,Robinia,Email,978,Spätzle,427.05,971.33,0.19,462.45
d625e09f-835e-4592-a9a3-2f97234a0926,821,Jacquetta,Plato,2005-01-27,RE,Balikpapan,2012-01-25,Cathie,Phone,227,Canned sausages,258.66,817.56,0.19,354.46
9beb671b-0313-4cf6-a4f9-1d2fa36332c8,523,Sallie,Blake,2019-04-15,VA,Abidjan,2010-10-29,Deedee,Phone,249,Spätzle,487.86,660.15,0.19,386
e39e5a23-c882-40a2-b90a-08261ef6d03a,419,Mady,Saree,2021-12-14,KG,Sarajevo,2021-06-04,Nita,Phone,202,Spätzle,482.9,604.87,0.19,304.7
d4a581de-ab2e-496d-abb1-4e42c203ab96,929,Babita,Toor,2023-09-23,LU,Cartagena,2001-08-01,Winny,Phone,994,Spätzle,252.69,978.41,0.19,463.15
3c84c22b-6461-4dd7-a3aa-df843b7b9c9f,613,Tiffie,Ruvolo,2019-01-04,MA,Nairobi,2020-03-23,Alyda,Email,171,Canned sausages,335,591.7,0.19,397.87
d37680e8-3aab-4c31-9c2c-c8ab0f21e4f9,429,Georgetta,Markman,2018-11-09,GQ,Ahmedabad,2007-06-10,Dyann,Phone,912,Spätzle,306.34,515.77,0.19,302.36
856cf3df-d286-4dee-bff4-ed76af46408c,339,Audrie,Birdella,2001-10-25,ET,Concepción,2010-10-18,Malina,Phone,710,Canned sausages,241,604.34,0.19,494.74
22782fd0-6f8a-41f1-ad77-2e31b20d57bf,198,Dawn,Rurik,2008-07-06,SD,Busan,2024-01-05,Loree,Email,813,Canned sausages,245.17,513.34,0.19,445.75
f0624780-d629-45ed-874c-9391b1e236e6,449,Riannon,Gavrila,2013-01-20,AX,Cairo,2005-10-04,Shell,Phone,729,Spätzle,349.17,721.46,0.19,348.9
334a6b64-5726-4f60-a002-0958b8d26295,25,Isa,Jefferey,2004-09-19,KI,San Juan,2019-05-05,Nessie,Phone,146,Spätzle,371.83,555.09,0.19,319.27
804c9cad-55ff-44ee-98e8-6f1801a9233c,80,Anestassia,Corilla,2015-08-07,ES,Bratsk,2016-07-26,Tina,Email,1,Canned sausages,361.62,923.94,0.19,412.37
924b8baa-6456-4d15-8b26-81e5ffade3ad,233,Roberta,Flyn,2012-06-29,UZ,Nouakchott,2011-04-03,Kittie,Phone,795,Spätzle,288.43,715.72,0.19,457.22
9bedc1a9-7139-44fb-b126-0d7f1af2df82,497,Marita,Jacobah,2024-04-19,BS,Hagåtña,2008-08-01,Marylou,Phone,219,Canned sausages,235.23,787.47,0.19,399.13
9573b163-67f5-4b1f-a694-b78bbd2b7a85,998,Rosabelle,Kaja,2012-11-24,KG,Antwerp,2016-04-23,Aurore,Phone,129,Canned sausages,364.66,965.41,0.19,500
c0cf5e44-63c3-457a-9f6a-da43aec779cd,663,Isa,Linehan,2003-06-11,CC,Ulan Bator,2007-12-12,Barbi,Phone,186,Spätzle,218.92,735.87,0.19,365.4
95e6d3e8-d6e6-4ab0-a787-bdb803a51e47,724,Jere,Alfons,2004-09-02,BJ,Kraków,2012-03-24,Rosanne,Email,142,Spätzle,227.84,742.87,0.19,480.16
ae679cbf-5910-4960-b98b-3753869699ca,53,Brandise,Bartlett,2012-05-01,KY,Mbabane,2012-12-29,Cathyleen,Phone,807,Spätzle,252.66,572.46,0.19,446.9
dcf5aff9-b8bf-4f8d-aa13-87ba2a47ccf8,99,Phylis,Riva,2018-08-18,SN,Kinshasa,2003-02-03,Adore,Email,665,Spätzle,363.05,547.59,0.19,359.67
f4363ef7-8617-40f5-b2f6-b430346db86d,903,Gusty,Melan,2003-06-28,PG,Kunming,2023-06-15,Mignon,Email,430,Canned sausages,498.39,589.09,0.19,464.66
5650fa41-b19d-47f4-a39c-df608a20fca3,114,Leia,Gualtiero,2010-03-22,ZW,Sabha,2021-12-09,Kimberley,Email,643,Spätzle,484.24,964.26,0.19,441.54
db6fb412-f027-43c2-b80e-d0cad3acf751,589,Donnie,Federica,2014-08-10,BE,Xi'an,2011-08-06,Glenda,Phone,815,Spätzle,486.87,600.53,0.19,352.07
199dfb58-8877-4d69-9336-766fca75115b,744,Christy,Dominy,2003-03-26,LV,Virginia Beach,2005-07-06,Cyb,Email,517,Canned sausages,469.17,669.41,0.19,500.41
a5e1c623-9b3e-42d6-b19b-6a01fcd771c5,855,Edee,Desai,2001-10-23,CR,São José dos Campos,2013-05-01,Dagmar,Email,449,Spätzle,364.42,802.92,0.19,442.02
54c8ee6a-4ee2-4402-9436-af2183d7f0dc,866,Nanete,Ardra,2015-09-09,SB,Mérida,2024-12-23,Janis,Email,530,Canned sausages,272.89,747.44,0.19,304.37
765acec5-08d3-43f9-95e2-d7aea2cbc566,543,Nannie,Andrel,2011-06-19,CF,Pittsburgh,2015-01-13,Sean,Phone,408,Spätzle,486.45,592.76,0.19,319.12
a4cf1b6a-b856-4b83-b33d-a65e80c17057,31,Beatriz,Hutchison,2001-10-31,NI,Tegucigalpa,2022-07-18,Christal,Phone,312,Spätzle,476.15,645.61,0.19,484.54
d228e343-0264-47d6-9a91-ab0129783dbc,236,Wynne,Oneida,2024-09-23,PK,Bratsk,2022-06-30,Veda,Email,952,Spätzle,472.73,919.61,0.19,372.55
fd5e5b18-af6a-4682-9efc-376014fa85bd,198,Genovera,Rona,2012-07-21,SB,Davao City,2004-01-28,Heida,Phone,252,Spätzle,406.2,694.17,0.19,489.67
f538bda4-cf76-48dc-afc1-5ddddb25c349,575,Briney,Milson,2005-03-23,ZM,Chihuahua,2014-10-26,Chickie,Email,841,Canned sausages,284.69,842.45,0.19,487.99
10032cf6-cbed-4f89-a823-6ba285e6eb1a,59,Dari,Urias,2007-03-08,SR,Dakar,2023-06-08,Kaia,Email,559,Spätzle,448.46,731.9,0.19,495.17
cf1d73f8-00bd-4908-a97a-499e4de6c8ac,442,Melisent,Read,2007-09-19,DO,Boston,2008-09-06,Vere,Phone,487,Canned sausages,224.15,588.12,0.19,445.93
3b2c58e7-e787-4376-88e6-3b5c53bfb89e,562,Marline,Tannie,2001-02-09,BH,Norilsk,2003-10-10,Hope,Email,761,Spätzle,226.17,858.13,0.19,412.47
705e01eb-fac9-4fd1-875f-03571fc84dd4,288,Candi,Michella,2017-03-19,MQ,Mogadishu,2008-07-26,Nananne,Email,701,Spätzle,401,829.29,0.19,385.07
dec38127-de7b-4a1d-a1aa-d7d37d35dfaf,946,Raquela,Marsden,2015-09-03,AR,Munich,2012-01-03,Carly,Phone,770,Spätzle,320.92,546.62,0.19,439.84
5fde56f0-b984-4dfc-a3c8-5b3647cfa455,26,Donnie,Wadell,2003-11-08,SH,Davao City,2012-07-04,Melodie,Email,178,Spätzle,268.13,849.72,0.19,352.86
618b6dd3-5180-4e25-b184-aa00b2ac5f45,751,Emilia,Bury,2016-12-05,MW,Dodoma,2007-09-22,Vonny,Email,259,Canned sausages,253.77,851.63,0.19,362.72
a54baa83-9caa-49f8-a586-9daa89497582,396,Anica,Kirbee,2017-11-14,EH,Vatican City,2021-01-23,Cacilie,Email,626,Canned sausages,394.61,892.32,0.19,478.1
c36c5f04-f7fe-4995-beba-b493751f797d,102,Elbertina,Whittaker,2014-10-14,SH,Thessaloniki,2007-11-03,Wynne,Phone,263,Spätzle,312.96,843.43,0.19,480.48
7f81d652-aeef-4e8e-aeaf-42f9eef1de59,766,Lila,Dorothy,2009-10-18,SL,Sarajevo,2022-05-07,Hallie,Email,730,Spätzle,334.38,811.47,0.19,303.49
616eb71a-5db0-43b6-a692-2df03a5f2ebb,214,Desirae,Means,2015-08-14,ER,Hobart,2024-04-20,Mireielle,Email,76,Spätzle,349.25,855.08,0.19,423.6
9f728335-cce2-487a-87e0-f2877f76281c,84,Cassandra,Garek,2010-01-20,LK,Prague,2023-10-29,Fernande,Email,634,Spätzle,279.18,878.61,0.19,377.81
fb9351b4-4e0e-44a0-a584-8bef334cb8cb,530,Oralee,Kelula,2000-12-03,TK,Lanzhou,2022-06-01,Melanie,Email,437,Spätzle,210.21,674.24,0.19,438.81
b50d3662-be47-42ef-8a67-a84cc3809ab3,61,Gilligan,Lemuela,2002-10-17,VC,Buffalo,2016-05-19,Zaria,Phone,443,Spätzle,200.36,858.19,0.19,398.97
c04318c3-7433-44f0-9feb-4a79df732cae,651,Elbertina,Ricarda,2015-12-05,SM,Monaco,2014-01-27,Kial,Phone,371,Canned sausages,240.35,641.77,0.19,444.87
443d2188-d31a-474c-9b33-dd28db05e16c,832,Peri,Jammal,2011-11-15,AW,Sofia,2016-01-12,Lauryn,Email,784,Canned sausages,206.11,930.03,0.19,440.27
d9742a02-d72d-47fd-b7ab-fecfc7621972,776,Nicoli,Verger,2016-02-27,SA,San Carlos de Bariloche,2011-02-27,Clarice,Email,261,Spätzle,381.78,581.5,0.19,312.42
fb7928fa-8206-4a91-9df9-2a178983dade,550,Debee,Randene,2017-01-24,LY,Los Angeles,2015-10-22,Miquela,Email,194,Canned sausages,272.76,611.33,0.19,480.5
42752cb5-acc2-48a9-8c9a-8b16e9369189,680,Darci,McClimans,2019-11-23,HT,Tallinn,2003-01-15,Eadie,Phone,599,Canned sausages,203.06,515.84,0.19,438.18
fba26f64-e38f-4399-ae8f-cf8e1679fa14,124,Ericka,Oscar,2012-08-20,LY,Oslo,2002-10-03,Annice,Email,526,Canned sausages,450.04,669.44,0.19,410.51
9d10dd9e-3702-4b2f-9722-b3d87d7b2410,349,Ekaterina,Cressida,2008-05-10,YT,Nassau,2022-07-21,Krystle,Email,583,Canned sausages,241.23,713.75,0.19,430.7
59fae222-f907-4cba-9bfe-57fce60e0d5a,672,Kamilah,Corrine,2016-04-11,AS,Mata-Utu,2013-10-13,Modestia,Phone,278,Spätzle,360.95,632.94,0.19,395.06
42377a9c-f617-4af3-b124-5194519fa933,996,Alisha,Dorothy,2009-04-01,SD,Santa Cruz de Tenerife,2017-02-28,Tani,Phone,502,Canned sausages,498.34,694.32,0.19,300.65
4ec84b24-08ea-4930-a838-b37736c577bc,754,Tobe,Frodi,2012-04-25,LI,Monterrey,2011-08-07,Marjie,Phone,574,Spätzle,340.85,876.84,0.19,319.63
b506397a-5603-491b-a4e6-0e77bc082fb5,949,Gertrud,Evvie,2011-02-19,ET,Thiès,2012-11-15,Jemie,Email,330,Spätzle,360.43,941.13,0.19,433.02
355a8aca-ab66-4a6d-b9a8-bad424734e6c,434,Bibby,Liebermann,2017-03-27,TR,Pyongyang,2012-03-29,Camile,Email,706,Spätzle,336.36,598.07,0.19,325.95
f875fd91-15e5-4417-b054-6856b96fac97,519,Konstance,Gladstone,2010-12-06,PF,Rawalpindi,2007-10-02,Jessy,Phone,458,Canned sausages,200.59,976.75,0.19,470.62
715f7cdb-753c-41ae-8f58-8ead8740c835,712,Emmey,Madelene,2003-09-27,DZ,Adak,2015-02-12,Lelah,Email,135,Canned sausages,453.24,653.71,0.19,331.79
91327be0-6352-40db-88a1-ef59d7e1c3a7,81,Tilly,Hewitt,2019-01-17,GR,Detroit,2022-09-09,Pierette,Email,886,Spätzle,428.7,888.88,0.19,487.1
caf20173-bd98-496c-afda-aa96c3bca6c2,582,Orelia,Agle,2016-10-14,CR,Rawalpindi,2004-12-22,Lauryn,Email,206,Canned sausages,313.64,708.83,0.19,365.39
11b5dde3-a71c-49c2-87e5-e19aa1823e3b,901,Frank,Elsinore,2010-01-03,SD,Bangkok,2000-10-18,June,Phone,708,Canned sausages,369.71,665.07,0.19,458.09
90ed33c8-874b-4098-b991-b0fb218300e5,963,Rochette,Raseda,2000-10-13,MN,Yaoundé,2010-02-28,Randa,Email,114,Canned sausages,314.74,666.85,0.19,485.48
d98c5cf7-b3ed-47e0-b898-9fa122fd643a,541,Shel,Crudden,2020-04-12,BO,Birmingham,2007-05-23,Kylynn,Phone,982,Spätzle,316.82,549.8,0.19,403.62
7c6a9aa1-ed54-4e1a-9d83-4088348be3b6,324,Larine,Ashely,2016-11-04,SY,St. John's,2022-07-01,Pamella,Phone,599,Spätzle,266.07,656.49,0.19,356.53
71837dca-0991-4790-b3b2-292e52040712,397,Steffane,Carri,2013-09-09,LA,Mata-Utu,2000-07-18,Jenda,Email,18,Spätzle,276.35,517.77,0.19,481.61
e9ac9f13-0bc7-4381-9d47-caa3f7f76bd0,909,Laure,Phaidra,2000-02-12,MA,Bratsk,2020-04-18,Wilma,Email,243,Canned sausages,222.41,727.27,0.19,386.75
86a0ca84-a6ae-4cee-a446-4f0f4f060765,652,Melodie,Chauncey,2004-04-16,FJ,Ouagadougou,2006-03-24,Harrietta,Email,579,Spätzle,284.88,807.32,0.19,428.37
7bae07dd-3ff1-46dc-b285-e50447b2c32d,764,Adore,Mendez,2014-11-13,BW,Málaga,2015-09-07,Sindee,Email,863,Spätzle,357.96,955.68,0.19,441.61
fa4f766a-2faa-4d1f-94b1-b437c890289c,132,Adele,Krystle,2021-10-12,PM,Iquique,2019-05-05,Allis,Phone,127,Spätzle,317.35,730.38,0.19,363.04
3c9cfd67-4b99-48af-ae49-3933aae03841,690,Deedee,Raseda,2019-01-14,VG,Istanbul,2002-09-20,Annora,Phone,975,Spätzle,426.76,850.87,0.19,372.64
7b859974-5321-4df3-bf1f-90cebca08dba,955,Chrystel,Wolfgram,2016-12-04,GN,Toronto,2002-02-09,Gabriellia,Phone,397,Canned sausages,409.75,980.74,0.19,319.75
f4f67c0c-67f2-4224-90c6-45c8f9003953,887,Coral,Caitlin,2004-01-02,PA,Ouagadougou,2016-05-07,Elora,Email,67,Spätzle,245.3,822.2,0.19,433.14
624eb6ec-ddee-4b4b-8ffd-eadb2df7ed5f,804,Fawne,Lucienne,2016-09-19,UG,Almaty,2016-12-16,Keelia,Email,765,Canned sausages,280.47,737.26,0.19,300.25
25e19b0a-6dec-4e9a-8f10-4aa31fd96a76,758,Zia,Velick,2003-04-19,CU,Vilnius,2003-03-31,Minda,Email,121,Spätzle,325.03,792.06,0.19,442.36
129937d1-2881-4c8b-aaf1-27c4df66f7c6,925,Deirdre,Malina,2004-11-27,MP,Baghdad,2015-02-27,Kylynn,Email,285,Canned sausages,492.77,548.83,0.19,364.87
